=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.04.08 13:18:34 =~=~=~=~=~=~=~=~=~=~=~=
>-246 70 2323 -13 32 27
>-242 72 2322 -19 39 31
>-239 65 2325 -14 37 32
>-244 66 2325 -12 40 33
>-243 65 2326 -14 47 29
>-244 70 2328 -18 39 27
>-244 64 2317 -17 35 29
>-238 63 2325 -14 41 33
>-245 65 2324 -18 43 33
>-249 69 2324 -17 41 31
>-245 66 2323 -10 40 31
>-245 65 2321 -15 37 36
>-244 71 2317 -12 38 35
>-242 66 2320 -8 41 36
>-241 66 2317 -9 44 34
>-239 70 2316 -15 41 28
>-242 71 2324 -11 37 31
>-242 71 2319 -17 41 34
>-244 77 2317 -17 33 27
>-235 70 2321 -16 35 32
>-240 72 2322 -17 42 33
>-247 75 2320 -19 40 34
>-245 69 2325 -14 39 31
>-245 67 2326 -12 39 33
>-243 67 2326 -23 38 30
>-243 63 2323 -20 38 26
>-242 66 2322 -17 42 32
>-238 70 2317 -14 40 33
>-243 72 2319 -11 36 36
>-239 75 2324 -13 35 36
>-241 71 2321 -12 42 34
>-245 70 2319 -14 41 32
>-247 70 2316 -18 37 26
>-242 69 2314 -16 37 29
>-245 71 2322 -10 37 35
>-245 71 2325 -12 44 35
>-244 67 2321 -22 40 32
>-242 68 2324 -16 39 29
>-243 72 2325 -11 42 23
>-245 67 2321 -13 35 22
>-244 67 2330 -14 33 29
>-244 68 2319 -18 35 30
>-239 69 2320 -15 41 34
>-243 67 2319 -6 37 34
>-237 65 2318 -19 37 30
>-242 74 2319 -5 39 30
>-240 73 2328 -8 39 25
>-237 67 2317 -25 36 28
>-243 69 2320 -19 45 30
>-243 69 2320 -12 33 27
>-247 71 2322 -12 40 24
>-246 72 2323 -21 48 20
>-247 70 2321 -12 35 26
>-246 68 2319 -17 33 28
>-241 65 2320 -25 42 26
>-242 63 2317 -19 40 29
>-245 62 2324 -7 35 29
>-242 63 2324 -15 39 30
>-244 62 2315 -20 37 31
>-244 63 2315 -15 42 30
>-243 66 2322 -10 36 33
>-240 69 2320 -14 31 34
>-245 76 2319 -22 37 30
>-245 84 2324 0 35 30
>-244 88 2331 -1 31 26
>-245 87 2313 -18 38 27
>-240 73 2315 -31 46 26
>-240 67 2331 -11 41 25
>-238 61 2338 -5 28 29
>-240 65 2314 -37 36 34
>-241 64 2315 -28 43 33
>-244 68 2329 -4 35 27
>-243 68 2324 -20 38 19
>-241 63 2319 -32 48 17
>-249 63 2319 -13 41 20
>-243 70 2331 -9 36 25
>-242 60 2321 -24 41 26
>-242 56 2316 -20 45 31
>-243 64 2325 -6 35 36
>-244 63 2321 -6 37 36
>-247 60 2327 -11 45 40
>-250 73 2324 0 33 37
>-243 71 2307 -24 36 28
>-243 82 2327 -9 45 24
>-240 90 2331 6 20 27
>-241 93 2327 -25 38 23
>-243 82 2314 -42 50 23
>-238 83 2327 6 33 26
>-240 79 2319 -20 38 29
>-240 62 2315 -38 51 23
>-240 62 2320 -10 39 22
>-244 54 2328 -9 32 18
>-246 48 2311 -49 47 23
>-247 56 2318 -7 40 23
>-244 60 2322 2 29 20
>-247 56 2318 -35 46 24
>-246 49 2323 -18 43 32
>-246 64 2333 17 25 40
>-252 78 2313 -20 28 38
>-246 75 2310 -28 50 34
>-244 70 2331 17 33 35
>-244 69 2334 -3 27 35
>-243 70 2315 -45 47 36
>-244 77 2318 -2 37 34
>-241 71 2312 2 31 36
>-239 74 2316 -24 48 33
>-243 73 2333 -6 43 36
>-244 71 2322 -9 30 39
>-246 65 2309 -37 47 37
>-246 61 2313 -17 44 31
>-247 61 2329 -28 36 40
>-239 62 2320 -27 40 31
>-246 65 2324 -4 31 34
>-245 68 2317 -10 36 37
>-241 71 2315 -20 45 37
>-244 71 2323 -7 35 32
>-246 71 2320 -6 34 31
>-244 74 2323 -18 44 37
>-238 76 2320 -11 41 36
>-241 72 2327 -6 35 32
>-240 70 2319 -16 40 32
>-240 72 2324 -20 42 30
>-239 68 2325 -9 36 27
>-245 68 2320 -13 36 27
>-244 63 2314 -25 34 28
>-240 64 2319 -17 39 31
>-240 68 2324 -9 34 31
>-244 68 2328 -16 36 36
>-247 69 2318 -23 38 39
>-247 73 2316 -17 40 35
>-240 72 2321 -6 38 33
>-242 71 2328 -9 39 29
>-245 76 2321 -14 40 30
>-239 77 2325 -20 37 30
>-244 76 2322 -18 40 29
>-242 75 2314 -13 36 31
>-241 70 2324 -11 38 18
>-240 67 2326 -17 42 20
>-249 69 2325 -17 38 27
>-243 62 2320 -18 37 25
>-244 62 2319 -16 43 27
>-245 63 2320 -11 38 24
>-243 63 2325 -13 35 33
>-244 64 2321 -18 37 32
>-248 66 2317 -21 37 27
>-241 71 2323 -14 38 33
>-244 73 2322 -9 39 31
>-248 75 2320 -16 39 33
>-245 68 2323 -18 37 30
>-240 67 2324 -8 37 34
>-243 66 2323 -14 37 33
>-245 65 2322 -14 40 35
>-242 68 2321 -6 38 32
>-239 66 2317 -4 36 31
>-244 67 2323 -14 40 30
>-242 70 2326 -11 33 31
>-245 70 2324 -15 40 32
>-244 74 2325 -15 45 31
>-245 76 2324 -9 35 27
>-241 71 2326 -11 38 34
>-245 68 2319 -18 34 33
>-243 73 2316 -17 42 30
>-245 67 2320 -13 40 28
>-240 64 2324 -19 41 25
>-243 68 2314 -15 44 27
>-245 68 2320 -11 43 33
>-245 68 2317 -19 34 28
>-241 66 2317 -20 38 37
>-244 64 2322 -6 37 36
>-245 71 2325 -10 34 23
>-243 71 2322 -16 39 31
>-244 70 2324 -2 40 32
>-237 65 2326 -9 36 33
>-237 66 2322 -20 37 34
>-241 67 2317 -13 33 31
>-240 68 2321 -14 38 36
>-246 65 2321 -12 38 35
>-244 68 2323 -15 40 31
>-246 71 2322 -18 43 31
>-251 73 2320 -15 37 35
>-245 71 2323 -12 38 34
>-244 67 2325 -16 38 28
>-237 72 2315 -15 37 31
>-234 74 2319 -12 35 28
>-242 71 2319 -14 39 33
>-242 67 2322 -19 37 30
>-244 72 2328 -16 36 29
>-241 71 2322 -22 39 27
>-243 72 2316 -18 42 21
>-246 67 2319 -22 38 25
>-240 69 2326 -17 38 27
>-240 73 2316 -17 38 26
>-243 65 2321 -17 46 27
>-243 64 2324 -13 38 24
>-246 65 2321 -12 37 28
>-247 64 2321 -13 45 30
>-247 68 2319 -9 44 30
>-242 66 2319 -13 37 32
>-239 65 2323 -19 39 27
>-243 70 2320 -11 36 27
>-242 68 2322 -12 40 35
>-242 64 2326 -12 35 30
>-239 63 2326 -14 37 28
>-240 65 2322 -15 35 35
>-241 72 2322 -18 38 33
>-240 68 2322 -16 38 33
>-240 70 2325 -15 36 28
>-243 70 2321 -15 34 32
